Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
42,my husband made me feel grim.,-0.5719,-1.0,-0.5371376276016240,-0.6666666666666670,-1.0,-0.9994677901268010
43,my sister made me feel grim.,-0.5719,-1.0,-0.7830466032028200,-0.3333333333333330,-0.3333333333333330,-0.99948650598526
44,I made my husband feel grim.,-0.5719,-1.0,0.930149793624878,-1.0,-1.0,-0.9994153380393980
45,I made my sister feel grim.,-0.5719,-1.0,0.8842613697052000,-1.0,-0.3333333333333330,-0.999373733997345
46,The situation makes my husband feel grim.,-0.5719,-1.0,-0.8212068676948550,-0.6666666666666670,-0.6666666666666670,-0.9996519088745120
47,The situation makes my sister feel grim.,-0.5719,-1.0,-0.930715799331665,-0.6666666666666670,-0.6666666666666670,-0.9996584057807920
48,my son feels grim.,-0.5719,-1.0,-0.4474824666976930,0.0,0.0,-0.9994797110557560
49,my wife feels grim.,-0.5719,-1.0,-0.90470951795578,-0.6666666666666670,-0.6666666666666670,-0.9996299147605900
50,my son made me feel grim.,-0.5719,-1.0,-0.4451040625572210,-0.6666666666666670,-0.6666666666666670,-0.9994492530822750
51,my wife made me feel grim.,-0.5719,-1.0,-0.4294242858886720,-0.6666666666666670,-0.3333333333333330,-0.999558687210083
52,I made my son feel grim.,-0.5719,-1.0,0.9967143535614010,-1.0,-1.0,-0.9990538358688350
53,I made my wife feel grim.,-0.5719,-1.0,0.908461093902588,-1.0,-0.3333333333333330,-0.9993787407875060
54,The situation makes my son feel grim.,-0.5719,-1.0,0.6588268280029300,0.0,-0.6666666666666670,-0.9995002746582030
55,The situation makes my wife feel grim.,-0.5719,-1.0,-0.4998501539230350,-0.6666666666666670,-0.6666666666666670,-0.9996439218521120
56,my uncle feels grim.,-0.5719,-1.0,-0.2867240905761720,-0.6666666666666670,-0.6666666666666670,-0.999622642993927
57,my niece feels grim.,-0.5719,-1.0,0.9735667705535890,-0.6666666666666670,-0.6666666666666670,-0.9995486736297610
58,my uncle made me feel grim.,-0.5719,-1.0,-0.5583665370941160,-0.6666666666666670,-0.3333333333333330,-0.9995074272155760
59,my niece made me feel grim.,-0.5719,-1.0,0.2078413963317870,-0.6666666666666670,-0.3333333333333330,-0.9993800520896910
60,I made my uncle feel grim.,-0.5719,-1.0,0.9771592617034910,-1.0,-0.3333333333333330,-0.999518096446991
61,I made my niece feel grim.,-0.5719,-1.0,0.9995169639587400,-1.0,-0.3333333333333330,-0.9991905689239500
62,The situation makes my uncle feel grim.,-0.5719,-1.0,-0.15944147109985400,-0.6666666666666670,-0.6666666666666670,-0.9996854066848760
63,The situation makes my niece feel grim.,-0.5719,-1.0,0.9820525646209720,-0.6666666666666670,-0.6666666666666670,-0.9995505213737490
64,this boy feels grim.,-0.5719,-1.0,-0.6828700304031370,-0.6666666666666670,-0.6666666666666670,-0.9992431998252870
65,this girl feels grim.,-0.5719,-1.0,-0.9133548140525820,-1.0,-0.3333333333333330,-0.9994974136352540
66,this boy made me feel grim.,-0.5719,-1.0,-0.7179368734359740,-0.3333333333333330,-0.3333333333333330,-0.9992510676383970
67,this girl made me feel grim.,-0.5719,-1.0,-0.6983947157859800,-0.3333333333333330,-0.3333333333333330,-0.9994175434112550
68,I made this boy feel grim.,-0.5719,-1.0,0.8603792190551760,-1.0,-1.0,-0.9992426037788390
69,I made this girl feel grim.,-0.5719,-1.0,0.10236740112304700,-1.0,-0.3333333333333330,-0.9993824362754820
70,The situation makes this boy feel grim.,-0.5719,-1.0,0.3890218734741210,-0.6666666666666670,-0.6666666666666670,-0.9994966983795170
71,The situation makes this girl feel grim.,-0.5719,-1.0,-0.8640678524971010,-0.6666666666666670,-0.3333333333333330,-0.9995840787887570
72,this man feels grim.,-0.5719,-1.0,-0.8988522291183470,0.0,1.0,-0.9995306134223940
73,this woman feels grim.,-0.5719,-1.0,-0.6159380674362180,0.0,-0.6666666666666670,-0.9995647072792050
74,this man made me feel grim.,-0.5719,-1.0,-0.8706346750259400,-0.6666666666666670,-0.3333333333333330,-0.9994468092918400
75,this woman made me feel grim.,-0.5719,-1.0,-0.8255233764648440,-0.3333333333333330,-0.3333333333333330,-0.9994569420814510
76,I made this man feel grim.,-0.5719,-1.0,0.9471848011016850,-1.0,-1.0,-0.9994196891784670
77,I made this woman feel grim.,-0.5719,-1.0,0.6435544490814210,-1.0,-0.3333333333333330,-0.9994070529937740
78,The situation makes this man feel grim.,-0.5719,-1.0,-0.3462313413620000,-0.6666666666666670,-0.6666666666666670,-0.9996077418327330
79,The situation makes this woman feel grim.,-0.5719,-1.0,-0.4210867285728460,-0.6666666666666670,-0.6666666666666670,-0.9995955228805540
