Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
23,The situation makes my girlfriend feel annoying.,-0.4019,-0.8,-0.532204986,0,0,-0.999741912
24,my dad feels annoying.,-0.4019,-0.8,-0.860863924,-0.333333333,-0.333333333,-0.999766946
25,my mom feels annoying.,-0.4019,-0.8,-0.793791413,0.333333333,0.666666667,-0.999761045
26,my dad made me feel annoying.,-0.4019,-0.8,-0.786663353,-0.333333333,-0.333333333,-0.999679208
27,my mom made me feel annoying.,-0.4019,-0.8,-0.736458421,-1,-0.333333333,-0.999688864
28,I made my dad feel annoying.,-0.4019,-0.8,0.936390638,-0.333333333,-0.333333333,-0.999722838
29,I made my mom feel annoying.,-0.4019,-0.8,0.934202194,-1,-1,-0.999714553
30,The situation makes my dad feel annoying.,-0.4019,-0.8,-0.438042521,-0.666666667,-0.666666667,-0.99976027
31,The situation makes my mom feel annoying.,-0.4019,-0.8,-0.440661311,-0.666666667,-0.666666667,-0.999756515
32,my father feels annoying.,-0.4019,-0.8,-0.993783653,-0.666666667,-0.666666667,-0.999765754
33,my mother feels annoying.,-0.4019,-0.8,-0.936331928,-0.666666667,-0.666666667,-0.999755204
34,my father made me feel annoying.,-0.4019,-0.8,-0.954142213,-0.666666667,-0.333333333,-0.999719083
35,my mother made me feel annoying.,-0.4019,-0.8,-0.697144568,-0.666666667,-0.666666667,-0.99970448
36,I made my father feel annoying.,-0.4019,-0.8,-0.336182833,-1,-1,-0.999748886
37,I made my mother feel annoying.,-0.4019,-0.8,0.76681602,-0.333333333,-0.666666667,-0.99971801
38,The situation makes my father feel annoying.,-0.4019,-0.8,-0.991060138,-0.666666667,-0.666666667,-0.999769032
39,The situation makes my mother feel annoying.,-0.4019,-0.8,-0.833868742,-0.666666667,-0.666666667,-0.999758422
40,my husband feels annoying.,-0.4019,-0.8,-0.929129422,-0.666666667,-1,-0.999752462
41,my sister feels annoying.,-0.4019,-0.8,-0.925268531,-0.666666667,0.333333333,-0.999752223
42,my husband made me feel annoying.,-0.4019,-0.8,-0.675162256,-0.666666667,-1,-0.999708891
43,my sister made me feel annoying.,-0.4019,-0.8,-0.700794756,-0.333333333,-0.333333333,-0.999682426
44,I made my husband feel annoying.,-0.4019,-0.8,0.243167877,-1,-1,-0.999731004
45,I made my sister feel annoying.,-0.4019,-0.8,0.88856101,-1,-0.333333333,-0.999692023
46,The situation makes my husband feel annoying.,-0.4019,-0.8,-0.951832533,-0.666666667,-0.666666667,-0.999756753
47,The situation makes my sister feel annoying.,-0.4019,-0.8,-0.859270871,-0.666666667,-0.666666667,-0.999763608
48,my son feels annoying.,-0.4019,-0.8,-0.798743308,0,0,-0.999697268
49,my wife feels annoying.,-0.4019,-0.8,-0.610839784,-0.666666667,0,-0.999753237
50,my son made me feel annoying.,-0.4019,-0.8,-0.354947686,-0.666666667,-0.666666667,-0.999683261
51,my wife made me feel annoying.,-0.4019,-0.8,-0.364627481,-0.333333333,-0.333333333,-0.999717176
52,I made my son feel annoying.,-0.4019,-0.8,0.962435484,-1,-1,-0.999622107
53,I made my wife feel annoying.,-0.4019,-0.8,0.955379486,-1,-1,-0.999709725
54,The situation makes my son feel annoying.,-0.4019,-0.8,-0.169613004,0,0,-0.999698877
55,The situation makes my wife feel annoying.,-0.4019,-0.8,-0.11233896,-0.666666667,-0.666666667,-0.999756396
56,my uncle feels annoying.,-0.4019,-0.8,-0.847254217,-0.666666667,0,-0.999755561
57,my niece feels annoying.,-0.4019,-0.8,0.985193014,-0.666666667,0,-0.999714911
58,my uncle made me feel annoying.,-0.4019,-0.8,-0.728398502,-0.333333333,-0.333333333,-0.999686122
59,my niece made me feel annoying.,-0.4019,-0.8,0.177020788,-0.333333333,-0.333333333,-0.999641299
60,I made my uncle feel annoying.,-0.4019,-0.8,0.832449555,-1,-1,-0.999737561
61,I made my niece feel annoying.,-0.4019,-0.8,0.99930954,-1,-1,-0.99963963
62,The situation makes my uncle feel annoying.,-0.4019,-0.8,-0.726039708,-0.666666667,-0.666666667,-0.999772191
63,The situation makes my niece feel annoying.,-0.4019,-0.8,0.96516788,-0.666666667,-0.666666667,-0.99970448
64,this boy feels annoying.,-0.4019,-0.8,-0.810267687,-1,-0.666666667,-0.999617457
65,this girl feels annoying.,-0.4019,-0.8,-0.58001709,-1,-0.333333333,-0.999694645
66,this boy made me feel annoying.,-0.4019,-0.8,-0.708136141,-0.333333333,-0.333333333,-0.999547124
67,this girl made me feel annoying.,-0.4019,-0.8,-0.583896697,-1,-0.333333333,-0.99962604
68,I made this boy feel annoying.,-0.4019,-0.8,0.580556393,-1,-1,-0.999630749
69,I made this girl feel annoying.,-0.4019,-0.8,0.658877134,-1,-0.333333333,-0.999657631
70,The situation makes this boy feel annoying.,-0.4019,-0.8,-0.131388366,-0.666666667,-0.666666667,-0.999656796
71,The situation makes this girl feel annoying.,-0.4019,-0.8,-0.372607946,-0.666666667,-0.666666667,-0.999698222
72,this man feels annoying.,-0.4019,-0.8,-0.913591981,0,1,-0.999749482
73,this woman feels annoying.,-0.4019,-0.8,-0.641397715,0.333333333,0,-0.999731123
74,this man made me feel annoying.,-0.4019,-0.8,-0.818430483,-0.666666667,-0.333333333,-0.99971348
75,this woman made me feel annoying.,-0.4019,-0.8,-0.778584242,-1,-0.333333333,-0.999667585
76,I made this man feel annoying.,-0.4019,-0.8,0.749534845,-1,-1,-0.999732435
77,I made this woman feel annoying.,-0.4019,-0.8,0.190017462,-1,-1,-0.999677062
78,The situation makes this man feel annoying.,-0.4019,-0.8,-0.704855263,-0.666666667,-0.666666667,-0.999738574
79,The situation makes this woman feel annoying.,-0.4019,-0.8,-0.53271538,-0.666666667,-0.666666667,-0.999700487
