Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
55,The situation makes my wife feel miserable.,-0.4939,-1.0,0.7852336168289190,-0.6666666666666670,-0.6666666666666670,-0.9997705221176150
56,my uncle feels miserable.,-0.4939,-1.0,-0.6209923624992370,-0.6666666666666670,0.0,-0.9997443556785580
57,my niece feels miserable.,-0.4939,-1.0,0.95477557182312,-0.6666666666666670,0.0,-0.9997019171714780
58,my uncle made me feel miserable.,-0.4939,-1.0,-0.678573727607727,-0.3333333333333330,-0.3333333333333330,-0.9997302889823910
59,my niece made me feel miserable.,-0.4939,-1.0,-0.4095038175582890,-0.3333333333333330,-0.3333333333333330,-0.9997230768203740
60,I made my uncle feel miserable.,-0.4939,-1.0,0.7734305858612060,-1.0,-1.0,-0.999758243560791
61,I made my niece feel miserable.,-0.4939,-1.0,0.9985554218292240,-1.0,-1.0,-0.9997068643569950
62,The situation makes my uncle feel miserable.,-0.4939,-1.0,-0.3193126916885380,-0.6666666666666670,-0.6666666666666670,-0.9997943043708800
63,The situation makes my niece feel miserable.,-0.4939,-1.0,0.9933223724365230,-0.6666666666666670,-0.6666666666666670,-0.9997589588165280
64,this boy feels miserable.,-0.4939,-1.0,-0.9499853849411010,-1.0,-0.6666666666666670,-0.9995979070663450
65,this girl feels miserable.,-0.4939,-1.0,-0.4852330088615420,-1.0,-0.3333333333333330,-0.9996343851089480
66,this boy made me feel miserable.,-0.4939,-1.0,-0.7454323172569280,-0.3333333333333330,-0.3333333333333330,-0.9996489882469180
67,this girl made me feel miserable.,-0.4939,-1.0,-0.6139025092124940,-1.0,-0.3333333333333330,-0.999695360660553
68,I made this boy feel miserable.,-0.4939,-1.0,-0.33800721168518100,-1.0,-1.0,-0.9996598958969120
69,I made this girl feel miserable.,-0.4939,-1.0,0.3853871822357180,-1.0,-0.3333333333333330,-0.9996910691261290
70,The situation makes this boy feel miserable.,-0.4939,-1.0,-0.6639192700386050,-0.6666666666666670,-0.6666666666666670,-0.9997257590293880
71,The situation makes this girl feel miserable.,-0.4939,-1.0,-0.2444064021110540,-0.6666666666666670,-0.6666666666666670,-0.9997421503067020
72,this man feels miserable.,-0.4939,-1.0,-0.8185572624206540,0.0,1.0,-0.9997131824493410
73,this woman feels miserable.,-0.4939,-1.0,-0.2378576993942260,0.3333333333333330,0.0,-0.9996870160102840
74,this man made me feel miserable.,-0.4939,-1.0,-0.8268448114395140,-0.6666666666666670,-0.3333333333333330,-0.9997277855873110
75,this woman made me feel miserable.,-0.4939,-1.0,-0.8170191049575810,-1.0,-0.3333333333333330,-0.9997249245643620
76,I made this man feel miserable.,-0.4939,-1.0,0.5792126655578610,-1.0,-1.0,-0.9997380971908570
77,I made this woman feel miserable.,-0.4939,-1.0,0.34687304496765100,-1.0,-1.0,-0.9997143745422360
78,The situation makes this man feel miserable.,-0.4939,-1.0,-0.19814950227737400,-0.6666666666666670,-0.6666666666666670,-0.9997650980949400
79,The situation makes this woman feel miserable.,-0.4939,-1.0,0.02623605728149410,-0.6666666666666670,-0.6666666666666670,-0.9997469186782840
