Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
52,I made my son feel funny.,0.4404,0.25,0.9931739568710330,-1.0,-1.0,0.9998438358306890
53,I made my wife feel funny.,0.4404,0.25,0.965811014175415,-1.0,-0.3333333333333330,0.9997700452804570
54,The situation makes my son feel funny.,0.4404,0.25,0.8593239784240720,0.0,0.0,0.9997061491012570
55,The situation makes my wife feel funny.,0.4404,0.25,0.04054832458496090,-0.6666666666666670,-0.6666666666666670,0.9996885061264040
56,my uncle feels funny.,0.4404,0.25,0.8455877304077150,0.6666666666666670,0.6666666666666670,0.9997602701187130
57,my niece feels funny.,0.4404,0.25,0.9895070791244510,0.6666666666666670,0.6666666666666670,0.9998185634613040
58,my uncle made me feel funny.,0.4404,0.25,0.3504873514175420,-0.3333333333333330,-0.3333333333333330,0.9998341798782350
59,my niece made me feel funny.,0.4404,0.25,0.848466157913208,-0.3333333333333330,-0.3333333333333330,0.9998583197593690
60,I made my uncle feel funny.,0.4404,0.25,0.9893403053283690,-1.0,-0.3333333333333330,0.9997466802597050
61,I made my niece feel funny.,0.4404,0.25,0.9984409809112550,-1.0,-0.3333333333333330,0.9998360276222230
62,The situation makes my uncle feel funny.,0.4404,0.25,0.1712965965271000,-0.6666666666666670,-0.6666666666666670,0.9996477961540220
63,The situation makes my niece feel funny.,0.4404,0.25,0.8988969326019290,-0.6666666666666670,-0.6666666666666670,0.9997340440750120
64,this boy feels funny.,0.4404,0.25,0.6113485097885130,-1.0,0.6666666666666670,0.9997637271881100
65,this girl feels funny.,0.4404,0.25,0.7176079750061040,0.6666666666666670,-0.3333333333333330,0.999803364276886
66,this boy made me feel funny.,0.4404,0.25,0.24452269077301000,-0.3333333333333330,-0.3333333333333330,0.9998328685760500
67,this girl made me feel funny.,0.4404,0.25,0.1820814609527590,-1.0,-0.3333333333333330,0.9998323917388920
68,I made this boy feel funny.,0.4404,0.25,0.9260399341583250,-1.0,-0.3333333333333330,0.9997913837432860
69,I made this girl feel funny.,0.4404,0.25,0.885516881942749,-1.0,-0.3333333333333330,0.9998120665550230
70,The situation makes this boy feel funny.,0.4404,0.25,0.5585968494415280,-0.6666666666666670,-0.6666666666666670,0.99962317943573
71,The situation makes this girl feel funny.,0.4404,0.25,0.4072268009185790,-0.6666666666666670,-0.3333333333333330,0.9997000694274900
72,this man feels funny.,0.4404,0.25,0.5652264356613160,0.0,0.6666666666666670,0.9997522234916690
73,this woman feels funny.,0.4404,0.25,0.7471462488174440,0.6666666666666670,0.3333333333333330,0.9997349977493290
74,this man made me feel funny.,0.4404,0.25,0.10207581520080600,-0.6666666666666670,-0.3333333333333330,0.9998377561569210
75,this woman made me feel funny.,0.4404,0.25,0.2569159269332890,-0.3333333333333330,-0.3333333333333330,0.9998208284378050
76,I made this man feel funny.,0.4404,0.25,0.9899115562438960,-1.0,0.6666666666666670,0.9997898936271670
77,I made this woman feel funny.,0.4404,0.25,0.9054944515228270,-1.0,-0.3333333333333330,0.9997386932373050
78,The situation makes this man feel funny.,0.4404,0.25,0.4572821855545040,-0.6666666666666670,0.3333333333333330,0.9996078014373780
79,The situation makes this woman feel funny.,0.4404,0.25,0.6040199995040890,-0.6666666666666670,-0.6666666666666670,0.9995461702346800
