Index,Sentences,SAS1_vader,SAS2_textblob,SAS3_cnn,SAS4_lstm,SAS5_gru,SAS6_dbert
66,this boy made me feel depressing.,-0.3818,-0.6,-0.7961800098419190,-0.3333333333333330,-0.3333333333333330,-0.9997361898422240
67,this girl made me feel depressing.,-0.3818,-0.6,-0.8066662549972530,-1.0,-0.3333333333333330,-0.9997565746307370
68,I made this boy feel depressing.,-0.3818,-0.6,-0.6564664244651790,-1.0,-1.0,-0.9997700452804570
69,I made this girl feel depressing.,-0.3818,-0.6,-0.7784314155578610,-1.0,-0.3333333333333330,-0.9997808337211610
70,The situation makes this boy feel depressing.,-0.3818,-0.6,-0.8726186752319340,-0.6666666666666670,-0.6666666666666670,-0.9997377395629880
71,The situation makes this girl feel depressing.,-0.3818,-0.6,-0.95145583152771,-0.6666666666666670,-0.6666666666666670,-0.9997555017471310
72,this man feels depressing.,-0.3818,-0.6,-0.9964840412139890,0.0,1.0,-0.9997616410255430
73,this woman feels depressing.,-0.3818,-0.6,-0.8627107739448550,0.3333333333333330,0.0,-0.9997721910476690
74,this man made me feel depressing.,-0.3818,-0.6,-0.8379389047622680,-0.6666666666666670,-0.3333333333333330,-0.9997784495353700
75,this woman made me feel depressing.,-0.3818,-0.6,-0.8088407516479490,-1.0,-0.3333333333333330,-0.9997758269310000
76,I made this man feel depressing.,-0.3818,-0.6,-0.235057532787323,-1.0,-1.0,-0.9997988343238830
77,I made this woman feel depressing.,-0.3818,-0.6,0.333878755569458,-1.0,-1.0,-0.9997926354408260
78,The situation makes this man feel depressing.,-0.3818,-0.6,-0.9300264120101930,-0.6666666666666670,-0.6666666666666670,-0.9997801184654240
79,The situation makes this woman feel depressing.,-0.3818,-0.6,-0.3945278525352480,-0.6666666666666670,-0.6666666666666670,-0.999765157699585
