C_num,UB,User_gender,Original,Enhancement,Text
1,0,0,Level: 5,No enhancement,"Level: 5 In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross Right now, the green sticker is on the down face and the white piece is on the front face The following moves will teach you how to get the edge piece into place: d	r	f	'	r	' Click solve whenever you are ready"
1,1,0,solve,"Hey, ","Hey, solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
1,1,0,Level 6,"Hey, ","Hey, Level 6"
1,0,0,Level: 6,No enhancement,"Level: 6 In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u Click solve whenever you are ready"
1,1,0,Solve,"Hey, ","Hey, Solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
1,1,0,Level 7,"Hey, ","Hey, Level 7"
1,0,0,Level: 7,No enhancement,"Level: 7 For level 7, the green sticker of the white-green edge is on the up face and the white sticker is on the back face We want to pair the green sticker with the green centerpiece so we will perform the following moves: b	u	l	u	' Click solve whenever you are ready"
1,1,0,Solve,"Hey, ","Hey, Solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
1,1,0,level 8,"Hey, ","Hey, level 8"
1,0,0,Level: 8,No enhancement,"Level: 8 When we're finished with level 8, the white and green stickers of the white-green edge piece will be paired with their centerpieces Right now, the green sticker is on the down face and the white sticker is on the back face There are two different ways to handle this level, so feel free to go through it multiple times To put the edge piece in place for this cube configuration, we can use the following moves: d	r	f	'	r	' Click solve whenever you are ready"
1,1,0,Solve,"Hey, ","Hey, Solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
1,1,0,level 9,"Hey, ","Hey, level 9"
1,0,0,Level: 9,No enhancement,"Level: 9 On our final level, we will pair the green sticker of the white-green edge with the green centerpiece Currently, the green sticker is on the back face and the white sticker is on the up face We will put the edge in place by completing these moves: b	u	l	l	u	' After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
1,1,0,Solve,"Hey, ","Hey, Solve"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,"Watch the cube to see the moves being performed. You're learning so quickly! Choose another level or repeat this one: Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube. Today we'll learn the different moves you need to know to solve the white cross.  Would you like to hear more about the white cross and how we will learn the moves?"
2,1,1,Yes,"Hey boy, ","Hey boy, Yes"
2,0,1,Let's talk about the white cross!,No enhancement,"Let's talk about the white cross!  First, what does the white cross even look like? On the UP face, the white cross will have the white centerpiece with the white edge pieces forming the cross. It is also important that color stickers of the white edge pieces are paired with their matching color centerpieces.  We can see an example of the white cross below. nan Today, I'll teach you the moves to solve the white cross by focusing on putting the white-green edge piece in its correct place. By learning these moves for the white-green edge piece, you can apply them to the other white edge pieces and solve the white cross."
2,1,1,Continue,"Hey boy, ","Hey boy, Continue"
2,0,1,We've broken the moves you need to know into different levels which will gradually increase in complexity.,No enhancement,"We've broken the moves you need to know into different levels which will gradually increase in complexity.  In each level, I'll guide you through finding the white-green edge piece and how you can move it to put it in place.  To see the move performed on the virtual cube, just type in 'Solve'. Awesome! Go ahead and pick a level to start learning:"
2,1,1,Level 1,"Hey boy, ","Hey boy, Level 1 Hey boy, Level ` Hey boy, Level 1"
2,0,1,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too Turn the front face until the white-green edge piece completes the White Cross. Click solve whenever you are ready"
2,1,1,Solve,"Hey boy, ","Hey boy, Solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
2,1,1,level 2,"Hey boy, ","Hey boy, level 2"
2,0,1,Level: 2,No enhancement,"Level: 2 In level two, we want the green sticker of the white-green edge to pair with the green centerpiece Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match. After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
2,1,1,solve,"Hey boy, ","Hey boy, solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
2,1,1,level 3,"Hey boy, ","Hey boy, level 3"
2,0,1,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face To pair the green stickers perform: l After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
2,1,1,solve,"Hey boy, ","Hey boy, solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
2,1,1,level 4,"Hey boy, ","Hey boy, level 4"
2,0,1,Level: 4,No enhancement,"Level: 4 To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times To pair the green stickers perform the following moves: l	'	u	l	u	' Click solve whenever you are ready"
2,1,1,solve,"Hey boy, ","Hey boy, solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
2,1,1,level 5,"Hey boy, ","Hey boy, level 5"
2,0,1,Level: 5,No enhancement,"Level: 5 In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross Right now, the green sticker is on the down face and the white piece is on the front face The following moves will teach you how to get the edge piece into place: d	r	f	'	r	' Click solve whenever you are ready"
2,1,1,Solve,"Hey boy, ","Hey boy, Solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
2,1,1,level 6,"Hey boy, ","Hey boy, level 6"
2,0,1,Level: 6,No enhancement,"Level: 6 In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u Click solve whenever you are ready"
2,1,1,Solve,"Hey boy, ","Hey boy, Solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
2,1,1,level 6,"Hey boy, ","Hey boy, level 6"
2,0,1,Level: 6,No enhancement,"Level: 6 In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u Click solve whenever you are ready"
2,1,1,level 7,"Hey boy, ","Hey boy, level 7"
2,0,1,Level: 7,No enhancement,"Level: 7 For level 7, the green sticker of the white-green edge is on the up face and the white sticker is on the back face We want to pair the green sticker with the green centerpiece so we will perform the following moves: b	u	l	u	' Click solve whenever you are ready"
2,1,1,Solve,"Hey boy, ","Hey boy, Solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
2,1,1,level 8,"Hey boy, ","Hey boy, level 8"
2,0,1,Level: 8,No enhancement,"Level: 8 When we're finished with level 8, the white and green stickers of the white-green edge piece will be paired with their centerpieces Right now, the green sticker is on the down face and the white sticker is on the back face There are two different ways to handle this level, so feel free to go through it multiple times To put the edge piece in place for this cube configuration, we can use the following moves: d	r	f	'	r	' Click solve whenever you are ready"
2,1,1,solve,"Hey boy, ","Hey boy, solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
2,1,1,level 9,"Hey boy, ","Hey boy, level 9"
2,0,1,Level: 9,No enhancement,"Level: 9 On our final level, we will pair the green sticker of the white-green edge with the green centerpiece Currently, the green sticker is on the back face and the white sticker is on the up face We will put the edge in place by completing these moves: b	u	l	l	u	' After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
2,1,1,Solve,"Hey boy, ","Hey boy, Solve"
2,0,1,Watch the cube to see the moves being performed.,No enhancement,"Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one: Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube. Today we'll learn the different moves you need to know to solve the white cross.  Would you like to hear more about the white cross and how we will learn the moves?"
3,1,2,No,"Hey girl, ","Hey girl, No"
3,0,2,Awesome! Go ahead and pick a level to start learning:,No enhancement,Awesome! Go ahead and pick a level to start learning:
3,1,2,Level 1,"Hey girl, ","Hey girl, Level 1 Hey girl, Level 1"
3,0,2,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too Turn the front face until the white-green edge piece completes the White Cross. Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
3,1,2,Level 1,"Hey girl, ","Hey girl, Level 1"
3,0,2,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too Turn the front face until the white-green edge piece completes the White Cross. Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Great job! Choose another level or repeat this one:
3,1,2,Level 2,"Hey girl, ","Hey girl, Level 2"
3,0,2,Level: 2,No enhancement,"Level: 2 In level two, we want the green sticker of the white-green edge to pair with the green centerpiece Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match. After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're learning so quickly! Choose another level or repeat this one:
3,1,2,Level 3,"Hey girl, ","Hey girl, Level 3"
3,0,2,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face To pair the green stickers perform: r	' After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
3,1,2,Level 4,"Hey girl, ","Hey girl, Level 4"
3,0,2,Level: 4,No enhancement,"Level: 4 To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times To pair the green stickers perform the following moves: r	u	'	r	'	u Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
3,1,2,Level 5,"Hey girl, ","Hey girl, Level 5"
3,0,2,Level: 5,No enhancement,"Level: 5 In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross Right now, the green sticker is on the down face and the white piece is on the front face The following moves will teach you how to get the edge piece into place: d	r	f	'	r	' Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
3,1,2,Level 6,"Hey girl, ","Hey girl, Level 6"
3,0,2,Level: 6,No enhancement,"Level: 6 In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're learning so quickly! Choose another level or repeat this one:
3,1,2,Level 7,"Hey girl, ","Hey girl, Level 7"
3,0,2,Level: 7,No enhancement,"Level: 7 For level 7, the green sticker of the white-green edge is on the up face and the white sticker is on the back face We want to pair the green sticker with the green centerpiece so we will perform the following moves: b	u	l	u	' Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Great job! Choose another level or repeat this one:
3,1,2,Level 8,"Hey girl, ","Hey girl, Level 8"
3,0,2,Level: 8,No enhancement,"Level: 8 When we're finished with level 8, the white and green stickers of the white-green edge piece will be paired with their centerpieces Right now, the green sticker is on the down face and the white sticker is on the back face There are two different ways to handle this level, so feel free to go through it multiple times To put the edge piece in place for this cube configuration, we can use the following moves: d	l	'	f	l Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
3,1,2,Level 9,"Hey girl, ","Hey girl, Level 9"
3,0,2,Level: 9,No enhancement,"Level: 9 On our final level, we will pair the green sticker of the white-green edge with the green centerpiece Currently, the green sticker is on the back face and the white sticker is on the up face We will put the edge in place by completing these moves: b	u	l	l	u	' After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
3,1,2,Level 1,"Hey girl, ","Hey girl, Level 1 Hey girl, Level 1"
3,0,2,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too Turn the front face until the white-green edge piece completes the White Cross. Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
3,1,2,Level 2,"Hey girl, ","Hey girl, Level 2"
3,0,2,Level: 2,No enhancement,"Level: 2 In level two, we want the green sticker of the white-green edge to pair with the green centerpiece Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match. After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
3,1,2,Level 3,"Hey girl, ","Hey girl, Level 3"
3,0,2,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face To pair the green stickers perform: l After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place. Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
3,1,2,Level 4,"Hey girl, ","Hey girl, Level 4"
3,0,2,Level: 4,No enhancement,"Level: 4 To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times To pair the green stickers perform the following moves: l	'	u	l	u	' Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Great job! Choose another level or repeat this one:
3,1,2,Level 5,"Hey girl, ","Hey girl, Level 5"
3,0,2,Level: 5,No enhancement,"Level: 5 In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross Right now, the green sticker is on the down face and the white piece is on the front face The following moves will teach you how to get the edge piece into place: d	r	f	'	r	' Click solve whenever you are ready"
3,1,2,Solve,"Hey girl, ","Hey girl, Solve"
3,0,2,Watch the cube to see the moves being performed.,No enhancement,"Watch the cube to see the moves being performed. Great job! Choose another level or repeat this one: Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube. Today we'll learn the different moves you need to know to solve the white cross.  Would you like to hear more about the white cross and how we will learn the moves?"
4,1,1,Yes,"Hey boy, ","Hey boy, Yes"
4,0,1,Let's talk about the white cross!,No enhancement,"Let's talk about the white cross!  First, what does the white cross even look like? On the UP face, the white cross will have the white centerpiece with the white edge pieces forming the cross. It is also important that color stickers of the white edge pieces are paired with their matching color centerpieces.  We can see an example of the white cross below. nan Today, I'll teach you the moves to solve the white cross by focusing on putting the white-green edge piece in its correct place. By learning these moves for the white-green edge piece, you can apply them to the other white edge pieces and solve the white cross."
4,1,1,Continue,"Hey boy, ","Hey boy, Continue"
4,0,1,We've broken the moves you need to know into different levels which will gradually increase in complexity.,No enhancement,"We've broken the moves you need to know into different levels which will gradually increase in complexity.  In each level, I'll guide you through finding the white-green edge piece and how you can move it to put it in place.  To see the move performed on the virtual cube, just type in 'Solve'. Awesome! Go ahead and pick a level to start learning:"
4,1,1,Level 1,"Hey boy, ","Hey boy, Level 1 Hey boy, Level 1"
4,0,1,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too Turn the front face until the white-green edge piece completes the White Cross."
4,1,1,solve,"Hey boy, ","Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
4,1,1,Level 2,"Hey boy, ","Hey boy, Level 2 Hey boy, level 2"
4,0,1,Level: 2,No enhancement,"Level: 2 In level two, we want the green sticker of the white-green edge to pair with the green centerpiece Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match. After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place."
4,1,1,solvw,"Hey boy, ","Hey boy, solvw"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
4,1,1,Level 3,"Hey boy, ","Hey boy, Level 3 Hey boy, level 3"
4,0,1,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face To pair the green stickers perform: r	' After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place."
4,1,1,r,"Hey boy, ","Hey boy, r Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
4,1,1,Level 4,"Hey boy, ","Hey boy, Level 4 Hey boy, level 4"
4,0,1,Level: 4,No enhancement,"Level: 4 To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times To pair the green stickers perform the following moves: r	u	'	r	'	u"
4,1,1,r u,"Hey boy, ","Hey boy, r u"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
4,1,1,Level 5,"Hey boy, ","Hey boy, Level 5 Hey boy, level 5"
4,0,1,Level: 5,No enhancement,"Level: 5 In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross Right now, the green sticker is on the down face and the white piece is on the front face The following moves will teach you how to get the edge piece into place: d	r	f	'	r	'"
4,1,1,d r f ,"Hey boy, ","Hey boy, d r f  Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
4,1,1,Level 6,"Hey boy, ","Hey boy, Level 6 Hey boy, level 6"
4,0,1,Level: 6,No enhancement,"Level: 6 In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u"
4,1,1,f u ' r u,"Hey boy, ","Hey boy, f u ' r u Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one: Watch the cube to see the moves being performed. Nice job! Choose another level or repeat this one:
4,1,1,Level 7,"Hey boy, ","Hey boy, Level 7 Hey boy, level 7"
4,0,1,Level: 7,No enhancement,"Level: 7 For level 7, the green sticker of the white-green edge is on the up face and the white sticker is on the back face We want to pair the green sticker with the green centerpiece so we will perform the following moves: b	u	l	u	'"
4,1,1,b u l u ',"Hey boy, ","Hey boy, b u l u ' Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one: Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
4,1,1,Level 8,"Hey boy, ","Hey boy, Level 8 Hey boy, level 8"
4,0,1,Level: 8,No enhancement,"Level: 8 When we're finished with level 8, the white and green stickers of the white-green edge piece will be paired with their centerpieces Right now, the green sticker is on the down face and the white sticker is on the back face There are two different ways to handle this level, so feel free to go through it multiple times To put the edge piece in place for this cube configuration, we can use the following moves: d	l	'	f	l"
4,1,1,d l ' f l,"Hey boy, ","Hey boy, d l ' f l Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Great job! Choose another level or repeat this one: Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
4,1,1,Level 9,"Hey boy, ","Hey boy, Level 9 Hey boy, level 9"
4,0,1,Level: 9,No enhancement,"Level: 9 On our final level, we will pair the green sticker of the white-green edge with the green centerpiece Currently, the green sticker is on the back face and the white sticker is on the up face We will put the edge in place by completing these moves: b	u	l	l	u	' After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place."
4,1,1,b u l l u ',"Hey boy, ","Hey boy, b u l l u ' Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're learning so quickly! Choose another level or repeat this one:
4,1,1,Level 1,"Hey boy, ","Hey boy, Level 1 Hey boy, level 1"
4,0,1,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too Turn the front face until the white-green edge piece completes the White Cross."
4,1,1,solve,"Hey boy, ","Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're doing awesome! Choose another level or repeat this one:
4,1,1,Level 2,"Hey boy, ","Hey boy, Level 2 Hey boy, level 2"
4,0,1,Level: 2,No enhancement,"Level: 2 In level two, we want the green sticker of the white-green edge to pair with the green centerpiece Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match. After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place."
4,1,1,solve,"Hey boy, ","Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You're learning so quickly! Choose another level or repeat this one:
4,1,1,Level 3,"Hey boy, ","Hey boy, Level 3 Hey boy, level 3"
4,0,1,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face To pair the green stickers perform: r	' After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place."
4,1,1,r,"Hey boy, ","Hey boy, r Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. Great job! Choose another level or repeat this one:
4,1,1,Level 3,"Hey boy, ","Hey boy, Level 3 Hey boy, level 3 "
4,0,1,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face To pair the green stickers perform: l After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place."
4,1,1,l,"Hey boy, ","Hey boy, l Hey boy, solve"
4,0,1,Watch the cube to see the moves being performed.,No enhancement,Watch the cube to see the moves being performed. You'll be able to solve a Rubik's Cube in no time! Choose another level or repeat this one:
4,1,1,Level 4,"Hey boy, ","Hey boy, Level 4 Hey boy, level 4 "
