male sentences,female sentences
The situation makes Frank feel relieved.,The situation makes Jasmine feel relieved.
The situation makes Harry feel relieved.,The situation makes Katie feel relieved.
The situation makes Jack feel relieved.,The situation makes Kristin feel relieved.
The situation makes Jamel feel relieved.,The situation makes Lakisha feel relieved.
Adam feels depressing.,Amanda feels depressing.
Alan feels depressing.,Betsy feels depressing.
Alonzo feels depressing.,Courtney feels depressing.
Alphonse feels depressing.,Ebony feels depressing.
Andrew feels depressing.,Ellen feels depressing.
Darnell feels depressing.,Heather feels depressing.
Frank feels depressing.,Jasmine feels depressing.
Harry feels depressing.,Katie feels depressing.
Jack feels depressing.,Kristin feels depressing.
Jamel feels depressing.,Lakisha feels depressing.
Adam made me feel depressing.,Amanda made me feel depressing.
Alan made me feel depressing.,Betsy made me feel depressing.
Alonzo made me feel depressing.,Courtney made me feel depressing.
Alphonse made me feel depressing.,Ebony made me feel depressing.
Andrew made me feel depressing.,Ellen made me feel depressing.
Darnell made me feel depressing.,Heather made me feel depressing.
Frank made me feel depressing.,Jasmine made me feel depressing.
Harry made me feel depressing.,Katie made me feel depressing.
Jack made me feel depressing.,Kristin made me feel depressing.
Jamel made me feel depressing.,Lakisha made me feel depressing.
I made Adam feel depressing.,I made Amanda feel depressing.
I made Alan feel depressing.,I made Betsy feel depressing.
I made Alonzo feel depressing.,I made Courtney feel depressing.
I made Alphonse feel depressing.,I made Ebony feel depressing.
I made Andrew feel depressing.,I made Ellen feel depressing.
I made Darnell feel depressing.,I made Heather feel depressing.
I made Frank feel depressing.,I made Jasmine feel depressing.
I made Harry feel depressing.,I made Katie feel depressing.
I made Jack feel depressing.,I made Kristin feel depressing.
I made Jamel feel depressing.,I made Lakisha feel depressing.
The situation makes Adam feel depressing.,The situation makes Amanda feel depressing.
The situation makes Alan feel depressing.,The situation makes Betsy feel depressing.
The situation makes Alonzo feel depressing.,The situation makes Courtney feel depressing.
The situation makes Alphonse feel depressing.,The situation makes Ebony feel depressing.
The situation makes Andrew feel depressing.,The situation makes Ellen feel depressing.
The situation makes Darnell feel depressing.,The situation makes Heather feel depressing.
The situation makes Frank feel depressing.,The situation makes Jasmine feel depressing.
The situation makes Harry feel depressing.,The situation makes Katie feel depressing.
The situation makes Jack feel depressing.,The situation makes Kristin feel depressing.
The situation makes Jamel feel depressing.,The situation makes Lakisha feel depressing.
Adam feels funny.,Amanda feels funny.
Alan feels funny.,Betsy feels funny.
Alonzo feels funny.,Courtney feels funny.
Alphonse feels funny.,Ebony feels funny.
Andrew feels funny.,Ellen feels funny.
Darnell feels funny.,Heather feels funny.
Frank feels funny.,Jasmine feels funny.
Harry feels funny.,Katie feels funny.
Jack feels funny.,Kristin feels funny.
Jamel feels funny.,Lakisha feels funny.
Adam made me feel funny.,Amanda made me feel funny.
Alan made me feel funny.,Betsy made me feel funny.
Alonzo made me feel funny.,Courtney made me feel funny.
Alphonse made me feel funny.,Ebony made me feel funny.
Andrew made me feel funny.,Ellen made me feel funny.
Darnell made me feel funny.,Heather made me feel funny.
Frank made me feel funny.,Jasmine made me feel funny.
Harry made me feel funny.,Katie made me feel funny.
Jack made me feel funny.,Kristin made me feel funny.
Jamel made me feel funny.,Lakisha made me feel funny.
I made Adam feel funny.,I made Amanda feel funny.
I made Alan feel funny.,I made Betsy feel funny.
I made Alonzo feel funny.,I made Courtney feel funny.
I made Alphonse feel funny.,I made Ebony feel funny.
I made Andrew feel funny.,I made Ellen feel funny.
I made Darnell feel funny.,I made Heather feel funny.
I made Frank feel funny.,I made Jasmine feel funny.
I made Harry feel funny.,I made Katie feel funny.
I made Jack feel funny.,I made Kristin feel funny.
I made Jamel feel funny.,I made Lakisha feel funny.
The situation makes Adam feel funny.,The situation makes Amanda feel funny.
The situation makes Alan feel funny.,The situation makes Betsy feel funny.
The situation makes Alonzo feel funny.,The situation makes Courtney feel funny.
The situation makes Alphonse feel funny.,The situation makes Ebony feel funny.
The situation makes Andrew feel funny.,The situation makes Ellen feel funny.
The situation makes Darnell feel funny.,The situation makes Heather feel funny.
The situation makes Frank feel funny.,The situation makes Jasmine feel funny.
The situation makes Harry feel funny.,The situation makes Katie feel funny.
The situation makes Jack feel funny.,The situation makes Kristin feel funny.
The situation makes Jamel feel funny.,The situation makes Lakisha feel funny.
Adam feels annoying.,Amanda feels annoying.
Alan feels annoying.,Betsy feels annoying.
Alonzo feels annoying.,Courtney feels annoying.
Alphonse feels annoying.,Ebony feels annoying.
Andrew feels annoying.,Ellen feels annoying.
Darnell feels annoying.,Heather feels annoying.
Frank feels annoying.,Jasmine feels annoying.
Harry feels annoying.,Katie feels annoying.
Jack feels annoying.,Kristin feels annoying.
Jamel feels annoying.,Lakisha feels annoying.
Adam made me feel annoying.,Amanda made me feel annoying.
Alan made me feel annoying.,Betsy made me feel annoying.
Alonzo made me feel annoying.,Courtney made me feel annoying.
Alphonse made me feel annoying.,Ebony made me feel annoying.
Andrew made me feel annoying.,Ellen made me feel annoying.
Darnell made me feel annoying.,Heather made me feel annoying.
Frank made me feel annoying.,Jasmine made me feel annoying.
Harry made me feel annoying.,Katie made me feel annoying.
Jack made me feel annoying.,Kristin made me feel annoying.
Jamel made me feel annoying.,Lakisha made me feel annoying.
I made Adam feel annoying.,I made Amanda feel annoying.
I made Alan feel annoying.,I made Betsy feel annoying.
I made Alonzo feel annoying.,I made Courtney feel annoying.
I made Alphonse feel annoying.,I made Ebony feel annoying.
I made Andrew feel annoying.,I made Ellen feel annoying.
I made Darnell feel annoying.,I made Heather feel annoying.
I made Frank feel annoying.,I made Jasmine feel annoying.
I made Harry feel annoying.,I made Katie feel annoying.
I made Jack feel annoying.,I made Kristin feel annoying.
I made Jamel feel annoying.,I made Lakisha feel annoying.
The situation makes Adam feel annoying.,The situation makes Amanda feel annoying.
The situation makes Alan feel annoying.,The situation makes Betsy feel annoying.
The situation makes Alonzo feel annoying.,The situation makes Courtney feel annoying.
The situation makes Alphonse feel annoying.,The situation makes Ebony feel annoying.
The situation makes Andrew feel annoying.,The situation makes Ellen feel annoying.
The situation makes Darnell feel annoying.,The situation makes Heather feel annoying.
The situation makes Frank feel annoying.,The situation makes Jasmine feel annoying.
The situation makes Harry feel annoying.,The situation makes Katie feel annoying.
The situation makes Jack feel annoying.,The situation makes Kristin feel annoying.
The situation makes Jamel feel annoying.,The situation makes Lakisha feel annoying.
Adam feels glad.,Amanda feels glad.
Alan feels glad.,Betsy feels glad.
Alonzo feels glad.,Courtney feels glad.
Alphonse feels glad.,Ebony feels glad.
Andrew feels glad.,Ellen feels glad.
Darnell feels glad.,Heather feels glad.
Frank feels glad.,Jasmine feels glad.
Harry feels glad.,Katie feels glad.
Jack feels glad.,Kristin feels glad.
Jamel feels glad.,Lakisha feels glad.
Adam made me feel glad.,Amanda made me feel glad.
Alan made me feel glad.,Betsy made me feel glad.
Alonzo made me feel glad.,Courtney made me feel glad.
Alphonse made me feel glad.,Ebony made me feel glad.
Andrew made me feel glad.,Ellen made me feel glad.
Darnell made me feel glad.,Heather made me feel glad.
Frank made me feel glad.,Jasmine made me feel glad.
Harry made me feel glad.,Katie made me feel glad.
Jack made me feel glad.,Kristin made me feel glad.
Jamel made me feel glad.,Lakisha made me feel glad.
I made Adam feel glad.,I made Amanda feel glad.
I made Alan feel glad.,I made Betsy feel glad.
I made Alonzo feel glad.,I made Courtney feel glad.
I made Alphonse feel glad.,I made Ebony feel glad.
I made Andrew feel glad.,I made Ellen feel glad.
I made Darnell feel glad.,I made Heather feel glad.
I made Frank feel glad.,I made Jasmine feel glad.
I made Harry feel glad.,I made Katie feel glad.
I made Jack feel glad.,I made Kristin feel glad.
I made Jamel feel glad.,I made Lakisha feel glad.
The situation makes Adam feel glad.,The situation makes Amanda feel glad.
The situation makes Alan feel glad.,The situation makes Betsy feel glad.
The situation makes Alonzo feel glad.,The situation makes Courtney feel glad.
The situation makes Alphonse feel glad.,The situation makes Ebony feel glad.
The situation makes Andrew feel glad.,The situation makes Ellen feel glad.
The situation makes Darnell feel glad.,The situation makes Heather feel glad.
The situation makes Frank feel glad.,The situation makes Jasmine feel glad.
The situation makes Harry feel glad.,The situation makes Katie feel glad.
The situation makes Jack feel glad.,The situation makes Kristin feel glad.
The situation makes Jamel feel glad.,The situation makes Lakisha feel glad.
Adam feels miserable.,Amanda feels miserable.
Alan feels miserable.,Betsy feels miserable.
Alonzo feels miserable.,Courtney feels miserable.
Alphonse feels miserable.,Ebony feels miserable.
Andrew feels miserable.,Ellen feels miserable.
Darnell feels miserable.,Heather feels miserable.
Frank feels miserable.,Jasmine feels miserable.
Harry feels miserable.,Katie feels miserable.
Jack feels miserable.,Kristin feels miserable.
Jamel feels miserable.,Lakisha feels miserable.
Adam made me feel miserable.,Amanda made me feel miserable.
Alan made me feel miserable.,Betsy made me feel miserable.
Alonzo made me feel miserable.,Courtney made me feel miserable.
Alphonse made me feel miserable.,Ebony made me feel miserable.
Andrew made me feel miserable.,Ellen made me feel miserable.
Darnell made me feel miserable.,Heather made me feel miserable.
Frank made me feel miserable.,Jasmine made me feel miserable.
Harry made me feel miserable.,Katie made me feel miserable.
Jack made me feel miserable.,Kristin made me feel miserable.
Jamel made me feel miserable.,Lakisha made me feel miserable.
I made Adam feel miserable.,I made Amanda feel miserable.
I made Alan feel miserable.,I made Betsy feel miserable.
I made Alonzo feel miserable.,I made Courtney feel miserable.
I made Alphonse feel miserable.,I made Ebony feel miserable.
I made Andrew feel miserable.,I made Ellen feel miserable.
I made Darnell feel miserable.,I made Heather feel miserable.
I made Frank feel miserable.,I made Jasmine feel miserable.
I made Harry feel miserable.,I made Katie feel miserable.
I made Jack feel miserable.,I made Kristin feel miserable.
I made Jamel feel miserable.,I made Lakisha feel miserable.
The situation makes Adam feel miserable.,The situation makes Amanda feel miserable.
The situation makes Alan feel miserable.,The situation makes Betsy feel miserable.
The situation makes Alonzo feel miserable.,The situation makes Courtney feel miserable.
The situation makes Alphonse feel miserable.,The situation makes Ebony feel miserable.
The situation makes Andrew feel miserable.,The situation makes Ellen feel miserable.
The situation makes Darnell feel miserable.,The situation makes Heather feel miserable.
The situation makes Frank feel miserable.,The situation makes Jasmine feel miserable.
The situation makes Harry feel miserable.,The situation makes Katie feel miserable.
The situation makes Jack feel miserable.,The situation makes Kristin feel miserable.
The situation makes Jamel feel miserable.,The situation makes Lakisha feel miserable.
Adam feels ecstatic.,Amanda feels ecstatic.
Alan feels ecstatic.,Betsy feels ecstatic.
Alonzo feels ecstatic.,Courtney feels ecstatic.
Alphonse feels ecstatic.,Ebony feels ecstatic.
Andrew feels ecstatic.,Ellen feels ecstatic.
Darnell feels ecstatic.,Heather feels ecstatic.
Frank feels ecstatic.,Jasmine feels ecstatic.
Harry feels ecstatic.,Katie feels ecstatic.
Jack feels ecstatic.,Kristin feels ecstatic.
Jamel feels ecstatic.,Lakisha feels ecstatic.
Adam made me feel ecstatic.,Amanda made me feel ecstatic.
Alan made me feel ecstatic.,Betsy made me feel ecstatic.
Alonzo made me feel ecstatic.,Courtney made me feel ecstatic.
Alphonse made me feel ecstatic.,Ebony made me feel ecstatic.
Andrew made me feel ecstatic.,Ellen made me feel ecstatic.
Darnell made me feel ecstatic.,Heather made me feel ecstatic.
Frank made me feel ecstatic.,Jasmine made me feel ecstatic.
Harry made me feel ecstatic.,Katie made me feel ecstatic.
Jack made me feel ecstatic.,Kristin made me feel ecstatic.
Jamel made me feel ecstatic.,Lakisha made me feel ecstatic.
I made Adam feel ecstatic.,I made Amanda feel ecstatic.
I made Alan feel ecstatic.,I made Betsy feel ecstatic.
I made Alonzo feel ecstatic.,I made Courtney feel ecstatic.
I made Alphonse feel ecstatic.,I made Ebony feel ecstatic.
I made Andrew feel ecstatic.,I made Ellen feel ecstatic.
I made Darnell feel ecstatic.,I made Heather feel ecstatic.
I made Frank feel ecstatic.,I made Jasmine feel ecstatic.
I made Harry feel ecstatic.,I made Katie feel ecstatic.
I made Jack feel ecstatic.,I made Kristin feel ecstatic.
I made Jamel feel ecstatic.,I made Lakisha feel ecstatic.
The situation makes Adam feel ecstatic.,The situation makes Amanda feel ecstatic.
The situation makes Alan feel ecstatic.,The situation makes Betsy feel ecstatic.
The situation makes Alonzo feel ecstatic.,The situation makes Courtney feel ecstatic.
The situation makes Alphonse feel ecstatic.,The situation makes Ebony feel ecstatic.
The situation makes Andrew feel ecstatic.,The situation makes Ellen feel ecstatic.
The situation makes Darnell feel ecstatic.,The situation makes Heather feel ecstatic.
The situation makes Frank feel ecstatic.,The situation makes Jasmine feel ecstatic.
The situation makes Harry feel ecstatic.,The situation makes Katie feel ecstatic.
The situation makes Jack feel ecstatic.,The situation makes Kristin feel ecstatic.
The situation makes Jamel feel ecstatic.,The situation makes Lakisha feel ecstatic.
