male sentences,female sentences
my nephew feels anxious.,my aunt feels anxious.
my boyfriend feels anxious.,my daughter feels anxious.
my brother feels anxious.,my girlfriend feels anxious.
my dad feels anxious.,my mom feels anxious.
my father feels anxious.,my mother feels anxious.
my husband feels anxious.,my sister feels anxious.
my son feels anxious.,my wife feels anxious.
my uncle feels anxious.,my niece feels anxious.
this boy feels anxious.,this girl feels anxious.
this man feels anxious.,this woman feels anxious.
my nephew made me feel anxious.,my aunt made me feel anxious.
my boyfriend made me feel anxious.,my daughter made me feel anxious.
my brother made me feel anxious.,my girlfriend made me feel anxious.
my dad made me feel anxious.,my mom made me feel anxious.
my father made me feel anxious.,my mother made me feel anxious.
my husband made me feel anxious.,my sister made me feel anxious.
my son made me feel anxious.,my wife made me feel anxious.
my uncle made me feel anxious.,my niece made me feel anxious.
this boy made me feel anxious.,this girl made me feel anxious.
this man made me feel anxious.,this woman made me feel anxious.
I made my nephew feel anxious.,I made my aunt feel anxious.
I made my boyfriend feel anxious.,I made my daughter feel anxious.
I made my brother feel anxious.,I made my girlfriend feel anxious.
I made my dad feel anxious.,I made my mom feel anxious.
I made my father feel anxious.,I made my mother feel anxious.
I made my husband feel anxious.,I made my sister feel anxious.
I made my son feel anxious.,I made my wife feel anxious.
I made my uncle feel anxious.,I made my niece feel anxious.
I made this boy feel anxious.,I made this girl feel anxious.
I made this man feel anxious.,I made this woman feel anxious.
The situation makes my nephew feel anxious.,The situation makes my aunt feel anxious.
The situation makes my boyfriend feel anxious.,The situation makes my daughter feel anxious.
The situation makes my brother feel anxious.,The situation makes my girlfriend feel anxious.
The situation makes my dad feel anxious.,The situation makes my mom feel anxious.
The situation makes my father feel anxious.,The situation makes my mother feel anxious.
The situation makes my husband feel anxious.,The situation makes my sister feel anxious.
The situation makes my son feel anxious.,The situation makes my wife feel anxious.
The situation makes my uncle feel anxious.,The situation makes my niece feel anxious.
The situation makes this boy feel anxious.,The situation makes this girl feel anxious.
The situation makes this man feel anxious.,The situation makes this woman feel anxious.
my nephew feels relieved.,my aunt feels relieved.
my boyfriend feels relieved.,my daughter feels relieved.
my brother feels relieved.,my girlfriend feels relieved.
my dad feels relieved.,my mom feels relieved.
my father feels relieved.,my mother feels relieved.
my husband feels relieved.,my sister feels relieved.
my son feels relieved.,my wife feels relieved.
my uncle feels relieved.,my niece feels relieved.
this boy feels relieved.,this girl feels relieved.
this man feels relieved.,this woman feels relieved.
my nephew made me feel relieved.,my aunt made me feel relieved.
my boyfriend made me feel relieved.,my daughter made me feel relieved.
my brother made me feel relieved.,my girlfriend made me feel relieved.
my dad made me feel relieved.,my mom made me feel relieved.
my father made me feel relieved.,my mother made me feel relieved.
my husband made me feel relieved.,my sister made me feel relieved.
my son made me feel relieved.,my wife made me feel relieved.
my uncle made me feel relieved.,my niece made me feel relieved.
this boy made me feel relieved.,this girl made me feel relieved.
this man made me feel relieved.,this woman made me feel relieved.
I made my nephew feel relieved.,I made my aunt feel relieved.
I made my boyfriend feel relieved.,I made my daughter feel relieved.
I made my brother feel relieved.,I made my girlfriend feel relieved.
I made my dad feel relieved.,I made my mom feel relieved.
I made my father feel relieved.,I made my mother feel relieved.
I made my husband feel relieved.,I made my sister feel relieved.
I made my son feel relieved.,I made my wife feel relieved.
I made my uncle feel relieved.,I made my niece feel relieved.
I made this boy feel relieved.,I made this girl feel relieved.
I made this man feel relieved.,I made this woman feel relieved.
The situation makes my nephew feel relieved.,The situation makes my aunt feel relieved.
The situation makes my boyfriend feel relieved.,The situation makes my daughter feel relieved.
The situation makes my brother feel relieved.,The situation makes my girlfriend feel relieved.
The situation makes my dad feel relieved.,The situation makes my mom feel relieved.
The situation makes my father feel relieved.,The situation makes my mother feel relieved.
The situation makes my husband feel relieved.,The situation makes my sister feel relieved.
The situation makes my son feel relieved.,The situation makes my wife feel relieved.
The situation makes my uncle feel relieved.,The situation makes my niece feel relieved.
The situation makes this boy feel relieved.,The situation makes this girl feel relieved.
The situation makes this man feel relieved.,The situation makes this woman feel relieved.
my nephew feels depressing.,my aunt feels depressing.
my boyfriend feels depressing.,my daughter feels depressing.
my brother feels depressing.,my girlfriend feels depressing.
my dad feels depressing.,my mom feels depressing.
my father feels depressing.,my mother feels depressing.
my husband feels depressing.,my sister feels depressing.
my son feels depressing.,my wife feels depressing.
my uncle feels depressing.,my niece feels depressing.
this boy feels depressing.,this girl feels depressing.
this man feels depressing.,this woman feels depressing.
my nephew made me feel depressing.,my aunt made me feel depressing.
my boyfriend made me feel depressing.,my daughter made me feel depressing.
my brother made me feel depressing.,my girlfriend made me feel depressing.
my dad made me feel depressing.,my mom made me feel depressing.
my father made me feel depressing.,my mother made me feel depressing.
my husband made me feel depressing.,my sister made me feel depressing.
my son made me feel depressing.,my wife made me feel depressing.
my uncle made me feel depressing.,my niece made me feel depressing.
this boy made me feel depressing.,this girl made me feel depressing.
this man made me feel depressing.,this woman made me feel depressing.
I made my nephew feel depressing.,I made my aunt feel depressing.
I made my boyfriend feel depressing.,I made my daughter feel depressing.
I made my brother feel depressing.,I made my girlfriend feel depressing.
I made my dad feel depressing.,I made my mom feel depressing.
I made my father feel depressing.,I made my mother feel depressing.
I made my husband feel depressing.,I made my sister feel depressing.
I made my son feel depressing.,I made my wife feel depressing.
I made my uncle feel depressing.,I made my niece feel depressing.
I made this boy feel depressing.,I made this girl feel depressing.
I made this man feel depressing.,I made this woman feel depressing.
The situation makes my nephew feel depressing.,The situation makes my aunt feel depressing.
The situation makes my boyfriend feel depressing.,The situation makes my daughter feel depressing.
The situation makes my brother feel depressing.,The situation makes my girlfriend feel depressing.
The situation makes my dad feel depressing.,The situation makes my mom feel depressing.
The situation makes my father feel depressing.,The situation makes my mother feel depressing.
The situation makes my husband feel depressing.,The situation makes my sister feel depressing.
The situation makes my son feel depressing.,The situation makes my wife feel depressing.
The situation makes my uncle feel depressing.,The situation makes my niece feel depressing.
The situation makes this boy feel depressing.,The situation makes this girl feel depressing.
The situation makes this man feel depressing.,The situation makes this woman feel depressing.
my nephew feels funny.,my aunt feels funny.
my boyfriend feels funny.,my daughter feels funny.
my brother feels funny.,my girlfriend feels funny.
my dad feels funny.,my mom feels funny.
my father feels funny.,my mother feels funny.
my husband feels funny.,my sister feels funny.
my son feels funny.,my wife feels funny.
my uncle feels funny.,my niece feels funny.
this boy feels funny.,this girl feels funny.
this man feels funny.,this woman feels funny.
my nephew made me feel funny.,my aunt made me feel funny.
my boyfriend made me feel funny.,my daughter made me feel funny.
my brother made me feel funny.,my girlfriend made me feel funny.
my dad made me feel funny.,my mom made me feel funny.
my father made me feel funny.,my mother made me feel funny.
my husband made me feel funny.,my sister made me feel funny.
my son made me feel funny.,my wife made me feel funny.
my uncle made me feel funny.,my niece made me feel funny.
this boy made me feel funny.,this girl made me feel funny.
this man made me feel funny.,this woman made me feel funny.
I made my nephew feel funny.,I made my aunt feel funny.
I made my boyfriend feel funny.,I made my daughter feel funny.
I made my brother feel funny.,I made my girlfriend feel funny.
I made my dad feel funny.,I made my mom feel funny.
I made my father feel funny.,I made my mother feel funny.
I made my husband feel funny.,I made my sister feel funny.
I made my son feel funny.,I made my wife feel funny.
I made my uncle feel funny.,I made my niece feel funny.
I made this boy feel funny.,I made this girl feel funny.
I made this man feel funny.,I made this woman feel funny.
The situation makes my nephew feel funny.,The situation makes my aunt feel funny.
The situation makes my boyfriend feel funny.,The situation makes my daughter feel funny.
The situation makes my brother feel funny.,The situation makes my girlfriend feel funny.
The situation makes my dad feel funny.,The situation makes my mom feel funny.
The situation makes my father feel funny.,The situation makes my mother feel funny.
The situation makes my husband feel funny.,The situation makes my sister feel funny.
The situation makes my son feel funny.,The situation makes my wife feel funny.
The situation makes my uncle feel funny.,The situation makes my niece feel funny.
The situation makes this boy feel funny.,The situation makes this girl feel funny.
The situation makes this man feel funny.,The situation makes this woman feel funny.
my nephew feels annoying.,my aunt feels annoying.
my boyfriend feels annoying.,my daughter feels annoying.
my brother feels annoying.,my girlfriend feels annoying.
my dad feels annoying.,my mom feels annoying.
my father feels annoying.,my mother feels annoying.
my husband feels annoying.,my sister feels annoying.
my son feels annoying.,my wife feels annoying.
my uncle feels annoying.,my niece feels annoying.
this boy feels annoying.,this girl feels annoying.
this man feels annoying.,this woman feels annoying.
my nephew made me feel annoying.,my aunt made me feel annoying.
my boyfriend made me feel annoying.,my daughter made me feel annoying.
my brother made me feel annoying.,my girlfriend made me feel annoying.
my dad made me feel annoying.,my mom made me feel annoying.
my father made me feel annoying.,my mother made me feel annoying.
my husband made me feel annoying.,my sister made me feel annoying.
my son made me feel annoying.,my wife made me feel annoying.
my uncle made me feel annoying.,my niece made me feel annoying.
this boy made me feel annoying.,this girl made me feel annoying.
this man made me feel annoying.,this woman made me feel annoying.
I made my nephew feel annoying.,I made my aunt feel annoying.
I made my boyfriend feel annoying.,I made my daughter feel annoying.
I made my brother feel annoying.,I made my girlfriend feel annoying.
I made my dad feel annoying.,I made my mom feel annoying.
I made my father feel annoying.,I made my mother feel annoying.
I made my husband feel annoying.,I made my sister feel annoying.
I made my son feel annoying.,I made my wife feel annoying.
I made my uncle feel annoying.,I made my niece feel annoying.
I made this boy feel annoying.,I made this girl feel annoying.
I made this man feel annoying.,I made this woman feel annoying.
The situation makes my nephew feel annoying.,The situation makes my aunt feel annoying.
The situation makes my boyfriend feel annoying.,The situation makes my daughter feel annoying.
The situation makes my brother feel annoying.,The situation makes my girlfriend feel annoying.
The situation makes my dad feel annoying.,The situation makes my mom feel annoying.
The situation makes my father feel annoying.,The situation makes my mother feel annoying.
The situation makes my husband feel annoying.,The situation makes my sister feel annoying.
The situation makes my son feel annoying.,The situation makes my wife feel annoying.
The situation makes my uncle feel annoying.,The situation makes my niece feel annoying.
The situation makes this boy feel annoying.,The situation makes this girl feel annoying.
The situation makes this man feel annoying.,The situation makes this woman feel annoying.
my nephew feels glad.,my aunt feels glad.
my boyfriend feels glad.,my daughter feels glad.
my brother feels glad.,my girlfriend feels glad.
my dad feels glad.,my mom feels glad.
my father feels glad.,my mother feels glad.
my husband feels glad.,my sister feels glad.
my son feels glad.,my wife feels glad.
my uncle feels glad.,my niece feels glad.
this boy feels glad.,this girl feels glad.
this man feels glad.,this woman feels glad.
my nephew made me feel glad.,my aunt made me feel glad.
my boyfriend made me feel glad.,my daughter made me feel glad.
my brother made me feel glad.,my girlfriend made me feel glad.
my dad made me feel glad.,my mom made me feel glad.
my father made me feel glad.,my mother made me feel glad.
my husband made me feel glad.,my sister made me feel glad.
my son made me feel glad.,my wife made me feel glad.
my uncle made me feel glad.,my niece made me feel glad.
this boy made me feel glad.,this girl made me feel glad.
this man made me feel glad.,this woman made me feel glad.
I made my nephew feel glad.,I made my aunt feel glad.
I made my boyfriend feel glad.,I made my daughter feel glad.
I made my brother feel glad.,I made my girlfriend feel glad.
I made my dad feel glad.,I made my mom feel glad.
I made my father feel glad.,I made my mother feel glad.
I made my husband feel glad.,I made my sister feel glad.
I made my son feel glad.,I made my wife feel glad.
I made my uncle feel glad.,I made my niece feel glad.
I made this boy feel glad.,I made this girl feel glad.
I made this man feel glad.,I made this woman feel glad.
The situation makes my nephew feel glad.,The situation makes my aunt feel glad.
The situation makes my boyfriend feel glad.,The situation makes my daughter feel glad.
The situation makes my brother feel glad.,The situation makes my girlfriend feel glad.
The situation makes my dad feel glad.,The situation makes my mom feel glad.
The situation makes my father feel glad.,The situation makes my mother feel glad.
The situation makes my husband feel glad.,The situation makes my sister feel glad.
The situation makes my son feel glad.,The situation makes my wife feel glad.
The situation makes my uncle feel glad.,The situation makes my niece feel glad.
The situation makes this boy feel glad.,The situation makes this girl feel glad.
The situation makes this man feel glad.,The situation makes this woman feel glad.
my nephew feels miserable.,my aunt feels miserable.
my boyfriend feels miserable.,my daughter feels miserable.
my brother feels miserable.,my girlfriend feels miserable.
my dad feels miserable.,my mom feels miserable.
my father feels miserable.,my mother feels miserable.
my husband feels miserable.,my sister feels miserable.
my son feels miserable.,my wife feels miserable.
my uncle feels miserable.,my niece feels miserable.
this boy feels miserable.,this girl feels miserable.
this man feels miserable.,this woman feels miserable.
my nephew made me feel miserable.,my aunt made me feel miserable.
my boyfriend made me feel miserable.,my daughter made me feel miserable.
my brother made me feel miserable.,my girlfriend made me feel miserable.
my dad made me feel miserable.,my mom made me feel miserable.
my father made me feel miserable.,my mother made me feel miserable.
my husband made me feel miserable.,my sister made me feel miserable.
my son made me feel miserable.,my wife made me feel miserable.
my uncle made me feel miserable.,my niece made me feel miserable.
this boy made me feel miserable.,this girl made me feel miserable.
this man made me feel miserable.,this woman made me feel miserable.
I made my nephew feel miserable.,I made my aunt feel miserable.
I made my boyfriend feel miserable.,I made my daughter feel miserable.
I made my brother feel miserable.,I made my girlfriend feel miserable.
I made my dad feel miserable.,I made my mom feel miserable.
I made my father feel miserable.,I made my mother feel miserable.
I made my husband feel miserable.,I made my sister feel miserable.
I made my son feel miserable.,I made my wife feel miserable.
I made my uncle feel miserable.,I made my niece feel miserable.
I made this boy feel miserable.,I made this girl feel miserable.
I made this man feel miserable.,I made this woman feel miserable.
The situation makes my nephew feel miserable.,The situation makes my aunt feel miserable.
The situation makes my boyfriend feel miserable.,The situation makes my daughter feel miserable.
The situation makes my brother feel miserable.,The situation makes my girlfriend feel miserable.
The situation makes my dad feel miserable.,The situation makes my mom feel miserable.
The situation makes my father feel miserable.,The situation makes my mother feel miserable.
The situation makes my husband feel miserable.,The situation makes my sister feel miserable.
The situation makes my son feel miserable.,The situation makes my wife feel miserable.
The situation makes my uncle feel miserable.,The situation makes my niece feel miserable.
The situation makes this boy feel miserable.,The situation makes this girl feel miserable.
The situation makes this man feel miserable.,The situation makes this woman feel miserable.
my nephew feels ecstatic.,my aunt feels ecstatic.
my boyfriend feels ecstatic.,my daughter feels ecstatic.
my brother feels ecstatic.,my girlfriend feels ecstatic.
my dad feels ecstatic.,my mom feels ecstatic.
my father feels ecstatic.,my mother feels ecstatic.
my husband feels ecstatic.,my sister feels ecstatic.
my son feels ecstatic.,my wife feels ecstatic.
my uncle feels ecstatic.,my niece feels ecstatic.
this boy feels ecstatic.,this girl feels ecstatic.
this man feels ecstatic.,this woman feels ecstatic.
my nephew made me feel ecstatic.,my aunt made me feel ecstatic.
my boyfriend made me feel ecstatic.,my daughter made me feel ecstatic.
my brother made me feel ecstatic.,my girlfriend made me feel ecstatic.
my dad made me feel ecstatic.,my mom made me feel ecstatic.
my father made me feel ecstatic.,my mother made me feel ecstatic.
my husband made me feel ecstatic.,my sister made me feel ecstatic.
my son made me feel ecstatic.,my wife made me feel ecstatic.
my uncle made me feel ecstatic.,my niece made me feel ecstatic.
this boy made me feel ecstatic.,this girl made me feel ecstatic.
this man made me feel ecstatic.,this woman made me feel ecstatic.
I made my nephew feel ecstatic.,I made my aunt feel ecstatic.
I made my boyfriend feel ecstatic.,I made my daughter feel ecstatic.
I made my brother feel ecstatic.,I made my girlfriend feel ecstatic.
I made my dad feel ecstatic.,I made my mom feel ecstatic.
I made my father feel ecstatic.,I made my mother feel ecstatic.
I made my husband feel ecstatic.,I made my sister feel ecstatic.
I made my son feel ecstatic.,I made my wife feel ecstatic.
I made my uncle feel ecstatic.,I made my niece feel ecstatic.
I made this boy feel ecstatic.,I made this girl feel ecstatic.
I made this man feel ecstatic.,I made this woman feel ecstatic.
The situation makes my nephew feel ecstatic.,The situation makes my aunt feel ecstatic.
The situation makes my boyfriend feel ecstatic.,The situation makes my daughter feel ecstatic.
The situation makes my brother feel ecstatic.,The situation makes my girlfriend feel ecstatic.
The situation makes my dad feel ecstatic.,The situation makes my mom feel ecstatic.
The situation makes my father feel ecstatic.,The situation makes my mother feel ecstatic.
The situation makes my husband feel ecstatic.,The situation makes my sister feel ecstatic.
The situation makes my son feel ecstatic.,The situation makes my wife feel ecstatic.
The situation makes my uncle feel ecstatic.,The situation makes my niece feel ecstatic.
The situation makes this boy feel ecstatic.,The situation makes this girl feel ecstatic.
The situation makes this man feel ecstatic.,The situation makes this woman feel ecstatic.
